"","facebook_S_alphas","facebook_S_gammas","facebook_S_scales","facebook_S_shapes","newsletter_alphas","newsletter_gammas","newsletter_scales","newsletter_shapes","ooh_S_alphas","ooh_S_gammas","ooh_S_scales","ooh_S_shapes","print_S_alphas","print_S_gammas","print_S_scales","print_S_shapes","search_S_alphas","search_S_gammas","search_S_scales","search_S_shapes","tv_S_alphas","tv_S_gammas","tv_S_scales","tv_S_shapes","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"23",2.6961325,0.699707,0.0793412,0.88738,1.561625,0.5457525,0.0142505,1.043786,0.5354915,0.34428186,0.0287938,1.473244,2.7748225,0.9350309,0.0101511,1.226526,1.47216,0.6757201,0.0729152,1.208366,1.9283875,0.6314052,0.0113303,0.95131,0.6483119,0.852653931425191,0.672058940384685,0.909574888108879,0.0878750449281161,0.700894372087358,0.412475696752881,0.700894372087358,0.0368621164531768,0,583837.801857379,0.00881701,65481090.2533626,1e-04,1,0.161870956420898,330.015598297119,"1_270_6",1,270,6,1889,FALSE,TRUE,3,0.0270887177445349,2,FALSE
"24",2.749495,0.7418043,0.0405399,1.036906,1.639175,0.9400051,0.0106987,1.068754,0.5540935,0.304508098,0.0222293,1.501162,2.7618175,0.8528523,0.0210668,1.59164,2.0690425,0.7563902,0.0727271,1.215158,2.0300675,0.6556616,0.00678895,0.92538,0.6492335,0.920000398606744,0.783388535245203,0.954026134444921,0.0647500629940342,0.569633332660847,0.294109699979895,0.569633332660847,0.0415151677971338,0,134002.162254346,0.00194662,65481090.2533626,1e-04,1,0.170768022537231,330.926388263702,"1_271_4",1,271,4,1894,FALSE,TRUE,1,0.0134506121765423,3,FALSE
"25",2.972505,0.7477298,0.0551113,0.714552,1.6582275,0.964069,0.0121408,1.256588,0.55014275,0.31834091,0.0216145,1.507954,2.7649975,0.8411147,0.0224974,1.612418,2.0818875,0.9122844,0.0772178,1.22606,2.069825,0.6416091,0.00491265,0.928946,0.6450167,0.924524704598582,0.77298397658667,0.947170247562734,0.0630392060255221,0.580084955503138,0.332739520481245,0.580084955503138,0.0228147283957198,0,109681.643574832,0.00157517,65481090.2533626,1e-04,1,0.155830860137939,332.157211303711,"1_272_4",1,272,4,1901,FALSE,TRUE,1,0.0166066398971075,4,FALSE
"26",2.90569,0.8198389,0.0527704,0.65712,2.03347,0.9078793,0.0108084,1.480092,0.501088265,0.4451247,0.0306133,1.524616,2.8395275,0.8893727,0.00231435,1.663358,0.9149975,0.9288436,0.0743844,1.20498,2.0457,0.6487617,0.00456676,1.02003,0.6430154,0.927153693535652,0.78656131823562,0.932924676012471,0.0619315703420748,0.571471004474302,0.355033768630152,0.571471004474302,0.0540088869248445,0,117192.228304209,0.00168988,65481090.2533626,1e-04,1,0.14894700050354,332.315371274948,"1_272_5",1,272,5,1902,FALSE,TRUE,2,0.0214240337699733,3,FALSE
"27",2.75187,0.6965864,0.0483794,1.011636,1.7214025,0.7379487,0.00440895,1.40966,0.55466425,0.4130794,0.0254182,1.506828,2.78997,0.8451593,0.0156324,1.606498,1.5578175,0.9362503,0.0838252,1.13866,2.09897,0.6421201,0.00624949,0.802938,0.6542603,0.919634287545268,0.780772599598818,0.954924964757612,0.0648354580533863,0.568535301706373,0.275187838909493,0.568535301706373,0.0741011507192927,0,144440.768508418,0.00210605,65481090.2533626,1e-04,1,0.160004138946533,332.484292268753,"1_272_6",1,272,6,1903,FALSE,TRUE,4,0.0164850455164802,5,FALSE
"28",2.8874,0.7815755,0.0794979,0.337108,1.3647075,0.8206859,0.0288839,1.077268,0.574286,0.32434544,0.0236432,1.474688,2.742745,0.9025929,0.0180926,1.219652,2.1540775,0.7768596,0.0708249,1.188472,2.0128925,0.6443664,0.00402082,1.065464,0.6393713,0.928731786610132,0.793835261712533,0.964665868713815,0.0609313030929082,0.572625317030788,0.271951239918119,0.572625317030788,0.0540074768989085,0,74434.7333022709,0.00103684,65481090.2533626,1e-04,1,0.208045959472656,332.943992137909,"1_273_1",1,273,1,1905,FALSE,TRUE,2,0.012965051516768,4,FALSE
"29",2.8472975,0.8241579,0.0419365,0.684346,1.757225,0.9935271,0.00493204,1.542228,0.527994,0.3855841,0.0284821,1.507352,2.7931425,0.8611522,0.0120871,1.633158,1.5062,0.9990935,0.0819334,1.157378,2.0851475,0.6440521,0.00619356,0.907134,0.644357,0.921782507122258,0.785967340692166,0.96376778016973,0.0641741713463699,0.563252813797225,0.275557711919105,0.563252813797225,0.0951836258286826,0,125992.661513829,0.00182429,65481090.2533626,1e-04,1,0.227904081344604,334.376853227615,"1_273_7",1,273,7,1911,FALSE,TRUE,2,0.0202445610507765,5,FALSE
"30",2.60151,0.7526816,0.0313085,1.233404,1.59016,0.8354251,0.00989043,1.047478,0.5406615,0.3974561,0.0311288,1.483316,2.779345,0.9188791,0.00306993,1.267606,0.9899275,0.8162318,0.0808171,1.215584,2.0954525,0.6356234,0.00622931,0.897926,0.6524723,0.918004696364498,0.7837391928021,0.955678854930954,0.0655527284873621,0.569172075595396,0.288774821114785,0.569172075595396,0.0791643926885093,0,152574.016133587,0.00223027,65481090.2533626,1e-04,1,0.214401006698608,336.078917264938,"1_274_7",1,274,7,1918,FALSE,TRUE,5,0.0183079981535379,3,FALSE
"31",2.6961325,0.699707,0.0793412,0.88738,1.5196075,0.8008129,0.0153196,1.183342,0.54056075,0.3814268,0.0302662,1.48044,2.7748225,0.9350309,0.0101511,1.226526,1.47216,0.6757201,0.0729152,1.208366,1.9283875,0.6314052,0.0113303,0.95131,0.6483119,0.853123204461774,0.669390664277169,0.914089991113862,0.0877349995385784,0.703739991588324,0.402045975704876,0.703739991588324,0.0368308617954832,0,583837.801857379,0.00881701,65481090.2533626,1e-04,1,0.267991065979004,336.384679079056,"1_275_1",1,275,1,1919,FALSE,TRUE,4,0.0258033947710353,2,TRUE
"32",2.8931375,0.8813878,0.0444033,0.72698,1.4925225,0.8645682,0.018562,1.070108,0.54650425,0.3964152,0.0290845,1.488076,2.7579875,0.881882,0.0218354,1.383764,1.9704125,0.8643134,0.0740098,1.227264,2.0517075,0.6420179,0.00461531,1.057388,0.642941,0.924141624611268,0.777324443161401,0.946963119904516,0.0631989834274414,0.583705665199819,0.31570194479208,0.583705665199819,0.00618974166883045,0,108710.00136941,0.00156033,65481090.2533626,1e-04,1,0.260513067245483,337.367176294327,"1_275_5",1,275,5,1923,FALSE,TRUE,1,0.0140994572810517,4,TRUE
